Make,Model,Variant,ExShowroomPrice,Displacement,Cylinders,ValvesPerCylinder,Drivetrain,CylinderConfiguration,EmissionNorm,Engine_ocation,FuelSystem,FuelTankCapacity,FuelType,Height,Length,Width,BodyType,Doors,CityMileage,HighwayMileage
Nissan,Terrano,Xe D 85Ps,999900,1461 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1671,4331,122,SUV,5,17.10,20.45
Nissan,Terrano,Xv D Premium 110 Ps Amt,1464900,1461 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1671,4331,122,SUV,5,16.00,19.01
Nissan,Terrano,Xl (P),999900,1598 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Petrol,1671,4331,122,SUV,5,10.10,1324
Nissan,Terrano,Xl D(O),235700,1461 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1671,4331,122,SUV,5,17.10,20.45
Nissan,Terrano,Xv D Premium 110 Ps,1419900,1461 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1671,4331,122,SUV,5,16.00,19.01
Nissan,Terrano,Sport Edition,235700,1461 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,50,Diesel,1671,4331,122,SUV,5,17.10,20.45
Tata,Safari Storme,22 Lx 42,1109005,2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,63,Diesel,122,4655,1855,SUV,5,10.80,14
Tata,Safari Storme,22 Ex 42,1335158,2179 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,63,Diesel,122,4655,1965,SUV,5,10.80,14
Tata,Safari Storme,22 Vx 42 Varicor 400,1479574,2179 cc,4,4,RWD (Rear Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,63,Diesel,122,4655,1965,SUV,5,10.80,13
Tata,Safari Storme,22 Vx 4X4 Varicor 400,164329,2179 cc,4,4,AWD (All Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,63,Diesel,122,4655,1965,SUV,5,1393.00,
Mg,Hector,1.5L Style,248000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Petrol,1760,4655,1835,SUV,5,,
Mg,Hector,2.0L Style,1348000,2000 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Diesel,1760,4655,1835,SUV,5,,
Mg,Hector,2.0L Super,1448000,2000 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Diesel,1760,4655,1835,SUV,5,,
Mg,Hector,2.0L Smart,1588000,2000 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Diesel,1760,4655,1835,SUV,5,,
Mg,Hector,2.0L Sharp,1728000,2000 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Diesel,1760,4655,1835,SUV,5,,
Mg,Hector,1.5L Super,1328000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Petrol,1760,4655,1835,SUV,5,,
Mg,Hector,1.5L Super Hybrid,1388000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Hybrid,1760,4655,1835,SUV,5,,
Mg,Hector,1.5L Sharp Hybrid,1628000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Hybrid,1760,4655,1835,SUV,5,,
Mg,Hector,1.5L Smart Hybrid,1498000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Hybrid,1760,4655,1835,SUV,5,,
Mg,Hector,1.5L Smart Dct,1568000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Petrol,1760,4655,1835,SUV,5,,
Mg,Hector,1.5L Sharp Dct,1718000,1500 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Transverse,Injection,,Petrol,1760,4655,1835,SUV,5,,
Tata,Nexon Ev,Xm,1399000,,,,FWD (Front Wheel Drive),In-line,BS VI,Front Longitudinal,Injection,,Electric,1607,3994,1811,SUV,5,,
Tata,Nexon Ev,Xz Plus,1499000,,,,FWD (Front Wheel Drive),In-line,BS VI,Front Longitudinal,Injection,,Electric,1607,3994,1811,SUV,5,,
Tata,Nexon Ev,Xz Plus Lux,1599000,,,,FWD (Front Wheel Drive),In-line,BS VI,Front Longitudinal,Injection,,Electric,1607,3994,1811,SUV,5,,
Hyundai,Elantra,S,1589000,1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,50,Petrol,1465,420,1800,Sedan,4,13.10,14.6
Hyundai,Elantra,Sx,1849000,1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,50,Petrol,1465,420,1800,Sedan,4,13.10,14.6
Hyundai,Elantra,Sx At,1949000,1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,50,Petrol,1465,420,1800,Sedan,4,13.10,14.6
Hyundai,Elantra,Sx(O) At,2039000,1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS 6,Front Transverse,Injection,50,Petrol,1465,420,1800,Sedan,4,13.10,14.6
Hyundai,Tucson,2Wd Mt Diesel,2079717,1995 cc,4,4,4WD,In-line,BS IV,Front Longitudinal,Injection,2,Diesel,1660,4475,1850,SUV,5,1638.00,18.2
Hyundai,Tucson,2Wd Mt Petrol,1876656,1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,2,Petrol,1660,4475,1850,SUV,5,133.00,13.03
Hyundai,Tucson,2Wd At Gl Diesel,2364354,1995 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,2,Diesel,1660,4475,1850,SUV,5,1638.00,16.38
Hyundai,Tucson,2Wd At Gl Petrol,2187384,1999 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,Front Longitudinal,Injection,2,Petrol,1660,4475,1850,SUV,5,133.00,2.95
